Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code_(CPC),Item,Year_Code,Year,Unit,Value,Flag,Flag_Description
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),115,Barley,2015,2015,1000 US$,109982,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),115,Barley,2016,2016,1000 US$,97002,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),115,Barley,2017,2017,1000 US$,102480,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),115,Barley,2018,2018,1000 US$,111802,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),115,Barley,2019,2019,1000 US$,114030,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),115,Barley,2020,2020,1000 US$,114589,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),115,Barley,2015,2015,1000 US$,68537,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),115,Barley,2016,2016,1000 US$,45163,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),115,Barley,2017,2017,1000 US$,56941,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),115,Barley,2018,2018,1000 US$,67961,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),115,Barley,2019,2019,1000 US$,63386,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),115,Barley,2020,2020,1000 US$,58369,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),115,Barley,2015,2015,1000 US$,119864,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),115,Barley,2016,2016,1000 US$,107368,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),115,Barley,2017,2017,1000 US$,91986,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),115,Barley,2018,2018,1000 US$,79231,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),115,Barley,2019,2019,1000 US$,92935,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),115,Barley,2020,2020,1000 US$,94857,E,Estimated value
