Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code,Item,Year_Code,Year,Unit,Value,Flag,Flag_Description,Note
OA,Annual population,40,Austria,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,4406.012,X,Figure from international organizations,
OA,Annual population,40,Austria,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,4444.016,X,Figure from international organizations,
OA,Annual population,40,Austria,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,4472.011,X,Figure from international organizations,
OA,Annual population,40,Austria,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,4492.71,X,Figure from international organizations,
OA,Annual population,40,Austria,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,4511.992,X,Figure from international organizations,
OA,Annual population,40,Austria,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,4524.926,X,Figure from international organizations,
OA,Annual population,56,Belgium,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,5716.548,X,Figure from international organizations,
OA,Annual population,56,Belgium,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,5747.039,X,Figure from international organizations,
OA,Annual population,56,Belgium,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,5777.356,X,Figure from international organizations,
OA,Annual population,56,Belgium,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,5805.587,X,Figure from international organizations,
OA,Annual population,56,Belgium,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,5832.685,X,Figure from international organizations,
OA,Annual population,56,Belgium,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,5854.453,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,3766.8,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,3733.561,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,3700.476,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,3666.139,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,3631.617,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,3593.896,X,Figure from international organizations,
OA,Annual population,191,Croatia,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,2196.249,X,Figure from international organizations,
OA,Annual population,191,Croatia,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,2177.865,X,Figure from international organizations,
OA,Annual population,191,Croatia,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,2159.3,X,Figure from international organizations,
OA,Annual population,191,Croatia,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,2140.352,X,Figure from international organizations,
OA,Annual population,191,Croatia,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,2122.252,X,Figure from international organizations,
OA,Annual population,191,Croatia,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,2103.215,X,Figure from international organizations,
OA,Annual population,196,Cyprus,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,592.342,X,Figure from international organizations,
OA,Annual population,196,Cyprus,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,597.688,X,Figure from international organizations,
OA,Annual population,196,Cyprus,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,603.093,X,Figure from international organizations,
OA,Annual population,196,Cyprus,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,608.241,X,Figure from international organizations,
OA,Annual population,196,Cyprus,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,613.199,X,Figure from international organizations,
