Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code_(CPC),Item,Year_Code,Year,Unit,Value,Flag,Flag_Description
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2015,2015,1000 US$,975437,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2016,2016,1000 US$,944660,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2017,2017,1000 US$,991803,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2018,2018,1000 US$,1069738,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2019,2019,1000 US$,958769,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2020,2020,1000 US$,909298,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2015,2015,1000 US$,51140,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2016,2016,1000 US$,39833,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2017,2017,1000 US$,27378,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2018,2018,1000 US$,49114,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2019,2019,1000 US$,48255,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2020,2020,1000 US$,39775,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2015,2015,1000 US$,15869,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2016,2016,1000 US$,15437,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2017,2017,1000 US$,16204,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2018,2018,1000 US$,17793,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2019,2019,1000 US$,15899,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),21111.01,"Meat of cattle with the bone, fresh or chilled",2020,2020,1000 US$,13403,E,Estimated value
