Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code,Item,Year_Code,Year,Unit,Value,Flag,Flag_Description,Note
OA,Annual population,276,Germany,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,41115.471,X,Figure from international organizations,
OA,Annual population,276,Germany,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,41023.579,X,Figure from international organizations,
OA,Annual population,276,Germany,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,40894.829,X,Figure from international organizations,
OA,Annual population,276,Germany,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,40750.817,X,Figure from international organizations,
OA,Annual population,276,Germany,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,40589.743,X,Figure from international organizations,
OA,Annual population,276,Germany,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,40435.376,X,Figure from international organizations,
OA,Annual population,250,France,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,31176.177,X,Figure from international organizations,
OA,Annual population,250,France,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,31141.251,X,Figure from international organizations,
OA,Annual population,250,France,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,31084.689,X,Figure from international organizations,
OA,Annual population,250,France,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,31021.685,X,Figure from international organizations,
OA,Annual population,250,France,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,30948.776,X,Figure from international organizations,
OA,Annual population,250,France,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,30864.639,X,Figure from international organizations,
OA,Annual population,380,Italy,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,29210.816,X,Figure from international organizations,
OA,Annual population,380,Italy,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,29186.479,X,Figure from international organizations,
OA,Annual population,380,Italy,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,29168.005,X,Figure from international organizations,
OA,Annual population,380,Italy,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,29144.008,X,Figure from international organizations,
OA,Annual population,380,Italy,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,29090.258,X,Figure from international organizations,
OA,Annual population,380,Italy,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,28987.916,X,Figure from international organizations,
OA,Annual population,724,Spain,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,23212.737,X,Figure from international organizations,
OA,Annual population,724,Spain,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,23102.938,X,Figure from international organizations,
OA,Annual population,724,Spain,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,22943.218,X,Figure from international organizations,
OA,Annual population,724,Spain,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,22854.449,X,Figure from international organizations,
OA,Annual population,724,Spain,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,22816.404,X,Figure from international organizations,
OA,Annual population,724,Spain,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,22811.354,X,Figure from international organizations,
OA,Annual population,616,Poland,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,18660.163,X,Figure from international organizations,
OA,Annual population,616,Poland,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,18647.53,X,Figure from international organizations,
OA,Annual population,616,Poland,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,18646.143,X,Figure from international organizations,
OA,Annual population,616,Poland,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,18640.083,X,Figure from international organizations,
OA,Annual population,616,Poland,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,18625.84,X,Figure from international organizations,
OA,Annual population,616,Poland,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,18590.207,X,Figure from international organizations,
OA,Annual population,642,Romania,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,9638.704,X,Figure from international organizations,
OA,Annual population,642,Romania,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,9587.94,X,Figure from international organizations,
OA,Annual population,642,Romania,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,9540.032,X,Figure from international organizations,
OA,Annual population,642,Romania,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,9493.519,X,Figure from international organizations,
OA,Annual population,642,Romania,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,9450.89,X,Figure from international organizations,
OA,Annual population,642,Romania,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,9405.845,X,Figure from international organizations,
OA,Annual population,528,Netherlands,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,8661.926,X,Figure from international organizations,
OA,Annual population,528,Netherlands,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,8624.262,X,Figure from international organizations,
OA,Annual population,528,Netherlands,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,8582.601,X,Figure from international organizations,
OA,Annual population,528,Netherlands,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,8539.671,X,Figure from international organizations,
OA,Annual population,528,Netherlands,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,8494.723,X,Figure from international organizations,
OA,Annual population,528,Netherlands,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,8449.612,X,Figure from international organizations,
OA,Annual population,56,Belgium,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,5707.264,X,Figure from international organizations,
OA,Annual population,56,Belgium,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,5677.883,X,Figure from international organizations,
OA,Annual population,56,Belgium,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,5643.009,X,Figure from international organizations,
