Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code,Item,Year_Code,Year,Unit,Value,Flag,Flag_Description,Note
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2015,2015,1000 persons,3669.727,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2016,2016,1000 persons,3667.377,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2017,2017,1000 persons,3660.707,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2018,2018,1000 persons,3649.748,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2019,2019,1000 persons,3636.627,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2020,2020,1000 persons,3622.85,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2015,2015,1000 persons,239.703,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2016,2016,1000 persons,236.371,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2017,2017,1000 persons,233.097,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2018,2018,1000 persons,229.844,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2019,2019,1000 persons,226.556,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2020,2020,1000 persons,223.197,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2015,2015,1000 persons,1866.828,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2016,2016,1000 persons,1830.702,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2017,2017,1000 persons,1794.614,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2018,2018,1000 persons,1758.643,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2019,2019,1000 persons,1722.907,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2020,2020,1000 persons,1687.49,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2015,2015,1000 persons,1857.29,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2016,2016,1000 persons,1836.858,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2017,2017,1000 persons,1815.373,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2018,2018,1000 persons,1793.077,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2019,2019,1000 persons,1770.247,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2020,2020,1000 persons,1747.114,X,Figure from international organizations,
OA,Annual population,196,Cyprus,551,Rural population,3010,Population - Est. & Proj.,2015,2015,1000 persons,383.751,X,Figure from international organizations,
