Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code_(CPC),Item,Year_Code,Year,Unit,Value,Flag,Flag_Description
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2015,2015,1000 US$,1322196,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2016,2016,1000 US$,1256018,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2017,2017,1000 US$,1564446,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2018,2018,1000 US$,1823111,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2019,2019,1000 US$,1566252,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2020,2020,1000 US$,1642972,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2015,2015,1000 US$,1162520,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2016,2016,1000 US$,1059675,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2017,2017,1000 US$,1478472,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2018,2018,1000 US$,1475828,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2019,2019,1000 US$,1453017,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2020,2020,1000 US$,1455922,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2015,2015,1000 US$,336361,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2016,2016,1000 US$,309949,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2017,2017,1000 US$,365341,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2018,2018,1000 US$,356001,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2019,2019,1000 US$,315394,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2020,2020,1000 US$,351305,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2015,2015,1000 US$,251153,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2016,2016,1000 US$,220948,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2017,2017,1000 US$,231317,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2018,2018,1000 US$,240916,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2019,2019,1000 US$,224882,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2020,2020,1000 US$,228501,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2015,2015,1000 US$,101417,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2016,2016,1000 US$,128575,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),2211,Raw milk of cattle,2017,2017,1000 US$,136587,E,Estimated value
