Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code_(CPC),Item,Year_Code,Year,Months_Code,Months,Unit,Value,Flag,Flag_Description
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),115,Barley,2015,2015,7021,Annual value,USD,130.9,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),115,Barley,2016,2016,7021,Annual value,USD,112.8,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),115,Barley,2017,2017,7021,Annual value,USD,131,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),115,Barley,2018,2018,7021,Annual value,USD,161.8,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),115,Barley,2019,2019,7021,Annual value,USD,137.7,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),115,Barley,2020,2020,7021,Annual value,USD,132.5,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),115,Barley,2015,2015,7021,Annual value,USD,157.9,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),115,Barley,2016,2016,7021,Annual value,USD,130.7,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),115,Barley,2017,2017,7021,Annual value,USD,149.4,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),115,Barley,2018,2018,7021,Annual value,USD,209.7,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),115,Barley,2019,2019,7021,Annual value,USD,158,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),115,Barley,2020,2020,7021,Annual value,USD,177.2,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),115,Barley,2015,2015,7021,Annual value,USD,171.8,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),115,Barley,2016,2016,7021,Annual value,USD,155.6,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),115,Barley,2017,2017,7021,Annual value,USD,154.5,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),115,Barley,2018,2018,7021,Annual value,USD,176.6,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),115,Barley,2019,2019,7021,Annual value,USD,165,A,Official figure
