Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code_(CPC),Item,Year_Code,Year,Months_Code,Months,Unit,Value,Flag,Flag_Description
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,4247.5,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,4137.2,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,4371.9,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,4582.1,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,4175.6,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,4164.2,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,3203.9,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,3116.2,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,3176.7,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,3370,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,2834.1,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,2888.6,A,Official figure
PP,Producer Prices,203,Czechia,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,2983.5,A,Official figure
PP,Producer Prices,203,Czechia,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,3010.7,A,Official figure
PP,Producer Prices,208,Denmark,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,3264.6,A,Official figure
PP,Producer Prices,208,Denmark,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,3070.1,A,Official figure
PP,Producer Prices,208,Denmark,5532,Producer Price (USD/tonne),21111.01,"Meat of cattle with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,3305.8,A,Official figure
