Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code_(CPC),Item,Year_Code,Year,Months_Code,Months,Unit,Value,Flag,Flag_Description
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,1597,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,1659.3,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,1875.3,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,1771.4,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,1981.5,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,1987.4,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,1883.1,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,1928.1,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,2185.9,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,2205.7,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,2116.9,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,2223.1,A,Official figure
PP,Producer Prices,203,Czechia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,1522.2,A,Official figure
PP,Producer Prices,203,Czechia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,1520.9,A,Official figure
PP,Producer Prices,208,Denmark,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,1517.7,A,Official figure
PP,Producer Prices,208,Denmark,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,1662.4,A,Official figure
PP,Producer Prices,208,Denmark,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,1894.8,A,Official figure
PP,Producer Prices,208,Denmark,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,1633.2,A,Official figure
PP,Producer Prices,208,Denmark,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,1987.7,A,Official figure
PP,Producer Prices,208,Denmark,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,2222.4,A,Official figure
PP,Producer Prices,233,Estonia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,1653.9,A,Official figure
PP,Producer Prices,233,Estonia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,1668.7,A,Official figure
PP,Producer Prices,233,Estonia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,1836.3,A,Official figure
PP,Producer Prices,233,Estonia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,1806.9,A,Official figure
PP,Producer Prices,233,Estonia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,1877,A,Official figure
PP,Producer Prices,233,Estonia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,1888.3,A,Official figure
PP,Producer Prices,246,Finland,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,1615.7,A,Official figure
PP,Producer Prices,246,Finland,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,1544.2,A,Official figure
PP,Producer Prices,246,Finland,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,1668.5,A,Official figure
PP,Producer Prices,246,Finland,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,1799.8,A,Official figure
PP,Producer Prices,246,Finland,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,1773.2,A,Official figure
PP,Producer Prices,246,Finland,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,1877.8,A,Official figure
PP,Producer Prices,250,France,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,1430.7,A,Official figure
PP,Producer Prices,250,France,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,1467.6,A,Official figure
PP,Producer Prices,250,France,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,1596.4,A,Official figure
PP,Producer Prices,250,France,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,1469.7,A,Official figure
PP,Producer Prices,250,France,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,1698.6,A,Official figure
PP,Producer Prices,250,France,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,1682.6,A,Official figure
PP,Producer Prices,276,Germany,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,1536,A,Official figure
PP,Producer Prices,276,Germany,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,1648.2,A,Official figure
PP,Producer Prices,276,Germany,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,1843.7,A,Official figure
PP,Producer Prices,276,Germany,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,1686.4,A,Official figure
PP,Producer Prices,276,Germany,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,1946.8,A,Official figure
PP,Producer Prices,276,Germany,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,2149.5,A,Official figure
PP,Producer Prices,300,Greece,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,2317.8,A,Official figure
PP,Producer Prices,300,Greece,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,2389.4,A,Official figure
PP,Producer Prices,300,Greece,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,2688.7,A,Official figure
PP,Producer Prices,300,Greece,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,3070.5,A,Official figure
