Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code_(CPC),Item,Year_Code,Year,Months_Code,Months,Unit,Value,Flag,Flag_Description
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2015,2015,7021,Annual value,USD,373.7,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2016,2016,7021,Annual value,USD,346.2,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2017,2017,7021,Annual value,USD,421.4,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2018,2018,7021,Annual value,USD,477.1,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2019,2019,7021,Annual value,USD,414.2,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2020,2020,7021,Annual value,USD,430.6,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2015,2015,7021,Annual value,USD,291.5,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2016,2016,7021,Annual value,USD,273,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2017,2017,7021,Annual value,USD,367.3,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2018,2018,7021,Annual value,USD,351.8,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2019,2019,7021,Annual value,USD,338.5,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2020,2020,7021,Annual value,USD,327.2,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2015,2015,7021,Annual value,USD,327.2,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2016,2016,7021,Annual value,USD,304.3,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2017,2017,7021,Annual value,USD,377.3,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2018,2018,7021,Annual value,USD,396.1,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2019,2019,7021,Annual value,USD,383.6,A,Official figure
PP,Producer Prices,191,Croatia,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2015,2015,7021,Annual value,USD,361.7,A,Official figure
PP,Producer Prices,191,Croatia,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2016,2016,7021,Annual value,USD,329.5,A,Official figure
PP,Producer Prices,191,Croatia,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2017,2017,7021,Annual value,USD,356.7,A,Official figure
PP,Producer Prices,191,Croatia,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2018,2018,7021,Annual value,USD,389.8,A,Official figure
PP,Producer Prices,191,Croatia,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2019,2019,7021,Annual value,USD,375.4,A,Official figure
PP,Producer Prices,191,Croatia,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2020,2020,7021,Annual value,USD,383.4,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2015,2015,7021,Annual value,USD,621,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2016,2016,7021,Annual value,USD,641.6,A,Official figure
PP,Producer Prices,196,Cyprus,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2017,2017,7021,Annual value,USD,631.3,A,Official figure
