,Area,Year,Famale_K ,Male_K,Rural_K,Urban_K
0,Austria,2015,4406.012,4236.408,3669.727,5008.93
1,Austria,2016,4444.016,4292.47,3667.377,5044.76
2,Austria,2017,4472.011,4325.485,3660.707,5074.746
3,Austria,2018,4492.71,4347.802,3649.748,5102.072
4,Austria,2019,4511.992,4367.948,3636.627,5129.574
5,Austria,2020,4524.926,4382.851,3622.85,5159.36
6,Belgium,2015,5716.548,5531.756,239.703,11048.237
7,Belgium,2016,5747.039,5569.797,236.371,11122.008
8,Belgium,2017,5777.356,5607.133,233.097,11196.239
9,Belgium,2018,5805.587,5643.009,229.844,11268.675
10,Belgium,2019,5832.685,5677.883,226.556,11336.228
11,Belgium,2020,5854.453,5707.264,223.197,11396.775
12,Bulgaria,2015,3766.8,3542.454,1866.828,5310.568
13,Bulgaria,2016,3733.561,3512.414,1830.702,5300.792
14,Bulgaria,2017,3700.476,3481.952,1794.614,5289.957
15,Bulgaria,2018,3666.139,3451.291,1758.643,5278.205
16,Bulgaria,2019,3631.617,3420.914,1722.907,5265.832
17,Bulgaria,2020,3593.896,3385.278,1687.49,5253.037
18,Croatia,2015,2196.249,2058.566,1857.29,2378.726
19,Croatia,2016,2177.865,2045.886,1836.858,2376.407
20,Croatia,2017,2159.3,2033.167,1815.373,2373.98
21,Croatia,2018,2140.352,2020.133,1793.077,2371.706
22,Croatia,2019,2122.252,2007.499,1770.247,2369.901
23,Croatia,2020,2103.215,1993.655,1747.114,2368.833
24,Cyprus,2015,592.342,594.938,383.751,777.234
25,Cyprus,2016,597.688,600.193,387.536,782.589
26,Cyprus,2017,603.093,605.429,391.192,788.359
27,Cyprus,2018,608.241,610.59,394.652,794.433
28,Cyprus,2019,613.199,615.637,397.812,800.615
29,Cyprus,2020,617.605,619.932,400.589,806.754
30,Czechia,2015,5351.824,5171.974,2812.446,7791.316
31,Czechia,2016,5350.917,5176.674,2804.473,7806.474
32,Czechia,2017,5350.077,5181.228,2795.276,7823.027
33,Czechia,2018,5349.073,5185.52,2784.67,7840.58
34,Czechia,2019,5347.6,5189.271,2772.368,7858.221
35,Czechia,2020,5343.468,5187.485,2758.156,7875.268
36,Denmark,2015,2858.62,2819.175,709.587,4979.108
37,Denmark,2016,2872.189,2834.668,705.862,5006.008
38,Denmark,2017,2886.493,2850.791,701.971,5031.58
39,Denmark,2018,2900.363,2866.323,697.769,5056.587
40,Denmark,2019,2914.173,2881.706,693.384,5081.84
41,Denmark,2020,2928.36,2897.282,688.897,5107.903
42,Estonia,2015,699.106,615.55,415.431,899.89
43,Estonia,2016,698.775,617.15,412.594,899.848
44,Estonia,2017,698.2,619.348,409.687,899.945
45,Estonia,2018,698.747,623.4,406.671,900.117
46,Estonia,2019,699.545,627.494,403.516,900.282
47,Estonia,2020,699.604,629.841,400.194,900.365
48,Finland,2015,2782.792,2696.669,809.95,4672.016
49,Finland,2016,2788.326,2706.893,810.329,4692.803
50,Finland,2017,2792.423,2715.716,810.547,4712.684
51,Finland,2018,2794.26,2721.202,810.217,4732.3
52,Finland,2019,2795.778,2725.759,809.403,4751.986
53,Finland,2020,2798.45,2731.017,808.148,4771.979
54,France,2015,32945.13,30864.639,13113.96,51343.241
55,France,2016,33040.543,30948.776,12998.038,51722.652
56,France,2017,33122.401,31021.685,12879.012,52100.536
57,France,2018,33193.119,31084.689,12756.906,52476.365
58,France,2019,33258.507,31141.251,12631.632,52849.078
59,France,2020,33303.876,31176.177,12503.199,53217.966
60,Germany,2015,41637.85,40435.376,18629.376,63078.413
61,Germany,2016,41741.679,40589.743,18657.193,63257.479
62,Germany,2017,41873.558,40750.817,18672.1,63442.124
63,Germany,2018,42001.866,40894.829,18671.111,63622.346
64,Germany,2019,42124.562,41023.579,18651.132,63787.507
65,Germany,2020,42213.517,41115.471,18610.145,63930.305
66,Greece,2015,5501.215,5305.426,2462.743,8755.057
67,Greece,2016,5475.726,5274.016,2417.151,8766.565
68,Greece,2017,5448.855,5243.373,2374.332,8785.441
69,Greece,2018,5420.773,5212.498,2333.39,8808.771
70,Greece,2019,5391.864,5182.16,2292.972,8831.631
71,Greece,2020,5361.245,5150.987,2252.163,8850.409
72,Hungary,2015,5151.713,4692.533,2886.258,6897.667
73,Hungary,2016,5132.846,4682.259,2850.043,6903.238
74,Hungary,2017,5115.164,4673.776,2813.212,6908.347
75,Hungary,2018,5102.34,4674.018,2775.785,6913.062
76,Hungary,2019,5093.203,4678.593,2737.853,6917.508
77,Hungary,2020,5078.065,4672.507,2699.487,6921.767
78,Ireland,2015,2357.72,2308.039,1760.732,2939.375
79,Ireland,2016,2381.941,2333.847,1761.09,2964.988
80,Ireland,2017,2409.471,2362.383,1764.335,2997.322
81,Ireland,2018,2440.194,2394.313,1769.22,3034.528
82,Ireland,2019,2470.88,2425.139,1773.798,3073.341
83,Ireland,2020,2495.802,2450.316,1776.656,3111.336
84,Italy,2015,31022.09,29210.816,18110.394,41393.818
85,Italy,2016,30932.147,29186.479,17914.936,41515.002
86,Italy,2017,30836.027,29168.005,17722.588,41637.312
87,Italy,2018,30733.417,29144.008,17527.87,41763.099
88,Italy,2019,30637.674,29090.258,17329.18,41887.345
89,Italy,2020,30512.662,28987.916,17125.372,42006.701
90,Latvia,2015,1079.334,912.62,638.051,1354.612
91,Latvia,2016,1067.676,905.8,630.159,1340.371
92,Latvia,2017,1055.969,898.894,622.436,1327.234
93,Latvia,2018,1043.956,891.675,614.843,1315.095
94,Latvia,2019,1032.054,884.501,607.314,1303.794
95,Latvia,2020,1019.942,877.11,599.796,1293.197
96,Lithuania,2015,1591.623,1372.141,960.792,1971.134
97,Lithuania,2016,1572.44,1361.233,949.079,1959.17
98,Lithuania,2017,1553.501,1350.949,938.898,1951.399
99,Lithuania,2018,1534.882,1341.245,929.713,1946.762
100,Lithuania,2019,1517.198,1331.885,920.766,1943.693
101,Lithuania,2020,1499.068,1321.199,911.492,1940.986
102,Luxembourg,2015,283.856,285.552,55.66,511.081
103,Luxembourg,2016,290.447,292.904,54.927,520.82
104,Luxembourg,2017,296.69,299.592,54.103,529.352
105,Luxembourg,2018,302.279,305.634,53.239,537.082
106,Luxembourg,2019,308.142,311.831,52.396,544.596
107,Luxembourg,2020,313.197,317.202,51.616,552.328
108,Malta,2015,225.92,230.659,23.888,403.728
109,Malta,2016,230.237,237.468,23.701,405.661
110,Malta,2017,234.787,244.709,23.498,407.337
111,Malta,2018,239.438,252.149,23.28,408.809
112,Malta,2019,244.0,259.634,23.057,410.188
113,Malta,2020,248.447,266.911,22.83,411.533
114,Netherlands,2015,8591.496,8449.612,1664.62,15273.879
