,Area,Year,Raw Milk,Meat Cattle,Meat Pig,Barley
0,Austria,2015,109982,975437,844993,1322196
1,Austria,2016,97002,944660,854356,1256018
2,Austria,2017,102480,991803,953570,1564446
3,Austria,2018,111802,1069738,902580,1823111
4,Austria,2019,114030,958769,994757,1566252
5,Austria,2020,114589,909298,1000011,1642972
6,Bulgaria,2015,119864,51140,172775,336361
7,Bulgaria,2016,107368,39833,183513,309949
8,Bulgaria,2017,91986,27378,190075,365341
9,Bulgaria,2018,79231,49114,163515,356001
10,Bulgaria,2019,92935,48255,169705,315394
11,Bulgaria,2020,94857,39775,140466,351305
12,Cyprus,2015,10763,15869,82431,101417
13,Cyprus,2016,955,15437,84642,128575
14,Cyprus,2017,3665,16204,94308,136587
15,Cyprus,2018,1768,17793,92197,150676
16,Cyprus,2019,6783,15899,91769,158367
17,Cyprus,2020,9034,13403,94324,186749
18,Czechia,2015,357178,205900,361427,967103
19,Czechia,2016,302535,219163,348415,841298
20,Czechia,2017,293749,221407,412055,1111353
21,Czechia,2018,321355,262653,448981,1253843
22,Czechia,2019,352569,245405,369624,1218156
23,Czechia,2020,341714,244797,380506,1204725
24,Denmark,2015,688336,393357,2429233,1921853
25,Denmark,2016,610185,397087,2625655,1906728
26,Denmark,2017,663882,410411,2903526,2479425
27,Denmark,2018,701078,453099,2585510,2542332
28,Denmark,2019,702147,388300,2982377,2343005
29,Denmark,2020,732549,372060,3546159,2456191
30,Estonia,2015,87641,27602,82860,205644
31,Estonia,2016,49943,32027,71253,204957
32,Estonia,2017,64444,29090,70512,291575
33,Estonia,2018,64976,25875,78493,288919
34,Estonia,2019,77012,21852,85010,271966
35,Estonia,2020,93611,22883,85049,271551
36,Finland,2015,236646,278069,310203,1015724
37,Finland,2016,216822,272919,293654,997101
38,Finland,2017,212780,289980,302975,1024595
39,Finland,2018,273268,320677,301300,1073247
40,Finland,2019,295322,310946,299590,1018028
41,Finland,2020,221949,319484,328741,1077497
42,France,2015,2177471,6309639,3073880,9307799
43,France,2016,1445787,6098745,3185280,8952462
44,France,2017,1809196,6369979,3428268,10193580
45,France,2018,2155558,6645577,3206216,10592542
46,France,2019,2189538,6144572,3737591,10438896
47,France,2020,1742798,6276773,3703520,10581038
48,Germany,2015,1870174,4140318,8556203,10729326
49,Germany,2016,1495623,3966221,9213011,9830616
50,Germany,2017,1667490,4131199,10150354,12925856
51,Germany,2018,1873095,4475172,9022256,13793128
52,Germany,2019,2035995,4020154,10185481,12739152
53,Germany,2020,1848525,3976200,11000930,12500674
54,Greece,2015,95078,169107,180945,320926
55,Greece,2016,68376,168994,183270,280702
56,Greece,2017,67354,183540,207884,289999
57,Greece,2018,63512,200828,267285,306385
58,Greece,2019,66555,144372,217406,283173
59,Hungary,2015,211240,71419,687557,570953
60,Hungary,2016,208003,82679,759145,514820
61,Hungary,2017,186532,98740,1030448,691623
62,Hungary,2018,183139,111105,1129890,699291
63,Hungary,2019,210073,105229,1025631,691511
64,Hungary,2020,214616,104119,1020913,696933
65,Ireland,2015,352333,2689100,802155,2010371
66,Ireland,2016,375665,2700582,839628,1904758
67,Ireland,2017,506004,2917414,959746,2832949
68,Ireland,2018,446585,2613065,904238,3135191
69,Ireland,2019,564352,2653045,887378,3002494
70,Ireland,2020,502396,2569984,1005651,3223118
71,Latvia,2015,56802,34199,52294,233644
72,Latvia,2016,38219,34435,56578,233911
73,Latvia,2017,34562,37142,64688,344990
74,Latvia,2018,58600,40048,62305,327593
75,Latvia,2019,48206,35021,73274,321633
76,Latvia,2020,50332,35715,72594,317091
77,Luxembourg,2015,6994,37974,19833,114225
78,Luxembourg,2016,4249,39212,23819,116043
79,Luxembourg,2017,4943,40960,24566,154643
80,Luxembourg,2018,6344,43991,22429,161551
81,Luxembourg,2019,5376,42112,25825,159539
82,Luxembourg,2020,5359,43481,27328,175256
83,Malta,2015,2020,3255,13740,25897
84,Malta,2016,2031,3454,11996,26101
85,Malta,2017,2043,3466,11600,30322
86,Poland,2015,480680,1494509,2923987,3981930
87,Poland,2016,509688,1477123,3703502,3721857
88,Poland,2017,616231,1838890,4034961,4896876
89,Poland,2018,563239,1977744,4132749,5281247
90,Poland,2019,581344,1989072,3723513,5110789
91,Poland,2020,480259,2075816,3688149,5252593
92,Romania,2015,349163,350557,966935,2050150
93,Romania,2016,358153,322412,1020257,1987297
94,Romania,2017,362285,308803,1104588,2004713
95,Romania,2018,389176,257064,968458,1820944
96,Romania,2019,390369,233912,921103,1737414
97,Romania,2020,242112,292146,924569,1838070
98,Slovakia,2015,119009,35802,80396,284098
99,Slovakia,2016,96608,34408,82807,251800
100,Slovakia,2017,101788,36188,96013,286263
101,Slovakia,2018,100362,38872,113326,313305
102,Slovakia,2019,120184,37378,116319,299933
103,Slovakia,2020,130693,39201,114866,310786
104,Slovenia,2015,13826,121211,49963,197560
105,Slovenia,2016,13484,125966,52793,179667
106,Slovenia,2017,14249,128243,66319,219973
107,Slovenia,2018,14809,139320,57971,216359
108,Slovenia,2019,15740,132075,57114,224023
109,Slovenia,2020,17504,135549,52599,222365
110,Spain,2015,1293877,1603971,4868659,2305301
111,Spain,2016,1535789,1688648,5270302,2354523
112,Spain,2017,1079145,1808077,6118441,2527381
113,Spain,2018,1947451,1857297,6122873,2686493
114,Spain,2019,1518008,1764158,7004270,2615747
115,Spain,2020,2111023,1690450,7430590,2780883
116,Sweden,2015,245250,361459,397024,1089426
117,Sweden,2016,210560,361123,408312,1031884
118,Sweden,2017,259179,365048,411678,1263871
119,Sweden,2018,245885,351124,400078,1273021
120,Sweden,2019,223513,324760,363273,1131124
121,Sweden,2020,232358,332287,383257,1194857
